epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1026,1.62744,2.32951,1.47443,0.84591,0.76276,0.86026,0.58161,1.16883,0.79045,1.2418,0.000110731,0.000110731,0.000110731
2,28.876,1.35257,1.1352,1.30411,0.91922,0.92253,0.9751,0.68534,1.13829,0.65146,1.25383,0.000217341,0.000217341,0.000217341
3,42.3707,1.30773,0.97428,1.28684,0.93055,0.96033,0.97713,0.69283,1.12149,0.61006,1.24654,0.000319555,0.000319555,0.000319555
4,55.7641,1.28109,0.90589,1.2736,0.95263,0.94494,0.97582,0.69599,1.14547,0.57631,1.26457,0.00031322,0.00031322,0.00031322
5,69.0948,1.24411,0.84267,1.26126,0.95877,0.96562,0.98285,0.70286,1.11623,0.56614,1.22849,0.000306626,0.000306626,0.000306626
6,82.488,1.22978,0.81087,1.2575,0.9489,0.95738,0.9775,0.69743,1.10502,0.5459,1.24302,0.000300033,0.000300033,0.000300033
7,95.8381,1.19823,0.77839,1.24802,0.9609,0.97385,0.98278,0.70365,1.10965,0.52096,1.21942,0.00029344,0.00029344,0.00029344
8,109.227,1.18576,0.75391,1.24632,0.9462,0.97572,0.98061,0.71205,1.07942,0.51502,1.24183,0.000286846,0.000286846,0.000286846
9,122.737,1.16825,0.72624,1.23831,0.95985,0.97647,0.97897,0.70086,1.10569,0.51027,1.26674,0.000280253,0.000280253,0.000280253
10,136.097,1.16344,0.71944,1.23351,0.95745,0.97048,0.97736,0.70847,1.07934,0.49002,1.22574,0.000273659,0.000273659,0.000273659
11,149.427,1.13932,0.70752,1.22534,0.9611,0.97685,0.98345,0.71917,1.08343,0.49326,1.24248,0.000267066,0.000267066,0.000267066
12,162.874,1.13067,0.68242,1.21888,0.95317,0.98209,0.98342,0.71354,1.06597,0.48187,1.21991,0.000260473,0.000260473,0.000260473
13,176.2,1.12658,0.67577,1.21596,0.94573,0.97877,0.97826,0.71233,1.07958,0.47907,1.23688,0.000253879,0.000253879,0.000253879
14,189.603,1.12683,0.67005,1.21999,0.96284,0.97992,0.98222,0.70974,1.08236,0.48552,1.24815,0.000247286,0.000247286,0.000247286
15,202.969,1.11776,0.66104,1.21176,0.95748,0.97839,0.97875,0.70762,1.10354,0.48288,1.25627,0.000240692,0.000240692,0.000240692
16,216.367,1.10639,0.64999,1.20801,0.96678,0.98285,0.98211,0.71849,1.07911,0.47522,1.25317,0.000234099,0.000234099,0.000234099
17,229.76,1.09393,0.63808,1.19855,0.94239,0.97449,0.98004,0.72448,1.07627,0.46044,1.2646,0.000227506,0.000227506,0.000227506
18,243.166,1.08931,0.63346,1.20366,0.96748,0.98078,0.98472,0.72424,1.07387,0.46094,1.26863,0.000220912,0.000220912,0.000220912
19,256.609,1.07345,0.62423,1.19197,0.97379,0.97451,0.98507,0.72128,1.07248,0.457,1.25234,0.000214319,0.000214319,0.000214319
20,269.965,1.0694,0.62036,1.19202,0.95852,0.98356,0.98479,0.72353,1.07523,0.45803,1.23618,0.000207725,0.000207725,0.000207725
21,283.279,1.06599,0.60833,1.1934,0.96189,0.98146,0.98352,0.72383,1.0717,0.44525,1.24745,0.000201132,0.000201132,0.000201132
22,296.621,1.05606,0.59512,1.18487,0.96929,0.98384,0.98487,0.72146,1.0668,0.4484,1.24846,0.000194539,0.000194539,0.000194539
23,309.948,1.04842,0.59768,1.18085,0.9726,0.97734,0.98409,0.72679,1.06121,0.45015,1.2392,0.000187945,0.000187945,0.000187945
24,323.363,1.03739,0.58572,1.17375,0.96732,0.9806,0.98522,0.72196,1.07402,0.45088,1.23808,0.000181352,0.000181352,0.000181352
25,336.662,1.0246,0.5786,1.1709,0.97205,0.98261,0.98396,0.72102,1.08001,0.44233,1.26756,0.000174758,0.000174758,0.000174758
26,350.052,1.02802,0.57541,1.17177,0.96373,0.98043,0.98351,0.72295,1.07641,0.44738,1.25844,0.000168165,0.000168165,0.000168165
27,363.371,1.02451,0.57107,1.16777,0.96659,0.98392,0.98188,0.72315,1.07535,0.43353,1.28277,0.000161572,0.000161572,0.000161572
28,376.68,1.01407,0.56945,1.16737,0.97167,0.97946,0.98256,0.72145,1.06346,0.43582,1.28022,0.000154978,0.000154978,0.000154978
29,390.055,1.01028,0.56299,1.16387,0.96898,0.97602,0.98288,0.725,1.06225,0.43822,1.27022,0.000148385,0.000148385,0.000148385
30,403.447,1.0016,0.55902,1.15685,0.96873,0.98264,0.98545,0.7267,1.07084,0.43807,1.25501,0.000141791,0.000141791,0.000141791
31,416.861,0.99288,0.54898,1.14952,0.97464,0.97488,0.98532,0.72394,1.07117,0.43062,1.26836,0.000135198,0.000135198,0.000135198
32,430.292,0.98555,0.54409,1.14923,0.96672,0.97892,0.98361,0.73309,1.06369,0.42258,1.26163,0.000128605,0.000128605,0.000128605
33,443.691,0.98204,0.54551,1.14404,0.96994,0.98308,0.98258,0.7332,1.06718,0.42785,1.26781,0.000122011,0.000122011,0.000122011
34,457.048,0.96885,0.52933,1.13747,0.97175,0.97816,0.98559,0.72968,1.06652,0.43101,1.25465,0.000115418,0.000115418,0.000115418
35,470.526,0.96668,0.52653,1.13764,0.97207,0.98094,0.98424,0.72585,1.06867,0.4284,1.26751,0.000108824,0.000108824,0.000108824
36,483.978,0.95045,0.51913,1.13248,0.96987,0.9772,0.98203,0.72401,1.07903,0.42752,1.28703,0.000102231,0.000102231,0.000102231
37,497.427,0.95491,0.52662,1.12923,0.9751,0.98269,0.98526,0.72541,1.08065,0.43193,1.24263,9.56376e-05,9.56376e-05,9.56376e-05
38,510.879,0.94561,0.52261,1.12697,0.97106,0.98253,0.98656,0.71884,1.09419,0.42562,1.27519,8.90442e-05,8.90442e-05,8.90442e-05
39,524.271,0.92972,0.51061,1.12113,0.97447,0.9827,0.98507,0.72215,1.08393,0.42943,1.2392,8.24508e-05,8.24508e-05,8.24508e-05
40,537.674,0.92933,0.50793,1.1177,0.97258,0.98177,0.98492,0.72894,1.07322,0.41958,1.26926,7.58574e-05,7.58574e-05,7.58574e-05
41,551.269,0.91125,0.37257,1.12499,0.97376,0.98257,0.98346,0.72648,1.09344,0.42704,1.25707,6.9264e-05,6.9264e-05,6.9264e-05
42,564.542,0.88703,0.36317,1.11216,0.9716,0.98212,0.98355,0.72826,1.07983,0.42287,1.25531,6.26706e-05,6.26706e-05,6.26706e-05
43,577.835,0.87174,0.36012,1.10597,0.97596,0.98136,0.98402,0.73038,1.08489,0.42152,1.28919,5.60772e-05,5.60772e-05,5.60772e-05
44,591.076,0.863,0.35317,1.10354,0.96966,0.9813,0.98209,0.72755,1.08668,0.41872,1.2895,4.94838e-05,4.94838e-05,4.94838e-05
45,604.372,0.84587,0.34772,1.0955,0.97493,0.98353,0.98298,0.72975,1.08311,0.41579,1.28052,4.28904e-05,4.28904e-05,4.28904e-05
46,617.663,0.84005,0.34682,1.08762,0.9741,0.9828,0.98321,0.72853,1.08672,0.41984,1.29313,3.6297e-05,3.6297e-05,3.6297e-05
47,630.922,0.82931,0.34066,1.07887,0.97378,0.97872,0.98258,0.73172,1.08925,0.41975,1.29047,2.97036e-05,2.97036e-05,2.97036e-05
48,644.195,0.81818,0.33674,1.07274,0.97336,0.98067,0.98288,0.73206,1.08665,0.41616,1.30111,2.31102e-05,2.31102e-05,2.31102e-05
49,657.49,0.8034,0.33132,1.06865,0.97652,0.98062,0.98345,0.73153,1.0873,0.41568,1.29556,1.65168e-05,1.65168e-05,1.65168e-05
50,670.807,0.79973,0.32971,1.06331,0.9771,0.97936,0.98311,0.73078,1.09108,0.41598,1.30129,9.9234e-06,9.9234e-06,9.9234e-06
