epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6927,1.63793,2.33591,1.47626,0.77596,0.82832,0.87403,0.57784,1.20907,0.80572,1.25259,0.000110729,0.000110729,0.000110729
2,28.5605,1.36627,1.1113,1.3038,0.93606,0.94139,0.98473,0.67948,1.14865,0.59844,1.22643,0.000219533,0.000219533,0.000219533
3,42.0221,1.332,0.96228,1.28708,0.94736,0.95633,0.98611,0.68438,1.14978,0.57299,1.28628,0.000326141,0.000326141,0.000326141
4,55.3998,1.29106,0.88778,1.27972,0.95731,0.98245,0.98793,0.6729,1.18314,0.55673,1.28803,0.00032311,0.00032311,0.00032311
5,68.7652,1.26742,0.83169,1.27369,0.95646,0.97223,0.98743,0.69669,1.12795,0.53871,1.23887,0.000319813,0.000319813,0.000319813
6,82.2053,1.24116,0.79576,1.26315,0.965,0.98364,0.99387,0.71094,1.11034,0.49597,1.23123,0.000316517,0.000316517,0.000316517
7,95.4763,1.22706,0.77507,1.26211,0.97825,0.98569,0.99318,0.70424,1.11366,0.49333,1.2695,0.00031322,0.00031322,0.00031322
8,108.781,1.20428,0.7373,1.25085,0.94676,0.99053,0.99356,0.69764,1.14487,0.48037,1.28295,0.000309923,0.000309923,0.000309923
9,122.106,1.18461,0.72587,1.24151,0.97549,0.98097,0.99217,0.7087,1.12099,0.48377,1.23898,0.000306626,0.000306626,0.000306626
10,135.413,1.18969,0.7071,1.24283,0.96852,0.9922,0.99396,0.71532,1.08252,0.45248,1.24877,0.00030333,0.00030333,0.00030333
11,148.74,1.16687,0.69158,1.23772,0.97147,0.98965,0.99372,0.72298,1.09549,0.45876,1.27755,0.000300033,0.000300033,0.000300033
12,162.194,1.15963,0.68351,1.22934,0.97713,0.98921,0.99452,0.72815,1.07949,0.43911,1.26109,0.000296736,0.000296736,0.000296736
13,175.562,1.15034,0.66625,1.22418,0.97016,0.99414,0.99461,0.73028,1.0743,0.45004,1.2448,0.00029344,0.00029344,0.00029344
14,188.967,1.14093,0.66046,1.22606,0.96886,0.99344,0.99361,0.72435,1.08987,0.44787,1.24866,0.000290143,0.000290143,0.000290143
15,202.28,1.13488,0.6554,1.22346,0.95478,0.98644,0.98703,0.71427,1.09074,0.44649,1.23009,0.000286846,0.000286846,0.000286846
16,215.575,1.11919,0.6441,1.21244,0.98284,0.98686,0.99327,0.72161,1.08526,0.43557,1.24086,0.00028355,0.00028355,0.00028355
17,228.896,1.12086,0.64093,1.21822,0.98266,0.9881,0.99478,0.73086,1.08245,0.43917,1.24861,0.000280253,0.000280253,0.000280253
18,242.198,1.11142,0.63507,1.20801,0.96928,0.99198,0.99154,0.71958,1.08986,0.42882,1.2348,0.000276956,0.000276956,0.000276956
19,255.389,1.11383,0.62822,1.21277,0.9635,0.99696,0.99393,0.73432,1.072,0.43228,1.24227,0.000273659,0.000273659,0.000273659
20,268.717,1.09071,0.60487,1.20216,0.9803,0.9911,0.99477,0.7335,1.05844,0.42844,1.23536,0.000270363,0.000270363,0.000270363
21,282,1.09789,0.61248,1.21073,0.9753,0.98954,0.99216,0.73383,1.07504,0.42123,1.23735,0.000267066,0.000267066,0.000267066
22,295.315,1.08939,0.6054,1.19736,0.97157,0.99519,0.99468,0.72068,1.09961,0.43128,1.23904,0.000263769,0.000263769,0.000263769
23,308.592,1.08609,0.59801,1.19764,0.97909,0.99095,0.99236,0.72842,1.08076,0.41916,1.24413,0.000260473,0.000260473,0.000260473
24,321.823,1.08391,0.59746,1.19895,0.98017,0.99295,0.99264,0.73266,1.0803,0.41981,1.24996,0.000257176,0.000257176,0.000257176
25,335.184,1.07261,0.59339,1.19681,0.98816,0.99177,0.99326,0.73571,1.06662,0.4162,1.26148,0.000253879,0.000253879,0.000253879
26,348.455,1.06858,0.58691,1.1905,0.97433,0.99183,0.99452,0.73288,1.07174,0.41116,1.24695,0.000250583,0.000250583,0.000250583
27,361.758,1.05913,0.57969,1.18576,0.98503,0.99601,0.99458,0.7335,1.06588,0.41354,1.26571,0.000247286,0.000247286,0.000247286
28,375.106,1.05355,0.57468,1.18583,0.9846,0.99329,0.99339,0.7382,1.07522,0.41102,1.27741,0.000243989,0.000243989,0.000243989
29,388.458,1.04677,0.57448,1.18405,0.97461,0.99611,0.99432,0.7389,1.06583,0.41255,1.23164,0.000240692,0.000240692,0.000240692
30,401.771,1.05049,0.57337,1.18588,0.94905,0.98399,0.98963,0.72489,1.06294,0.41037,1.23716,0.000237396,0.000237396,0.000237396
31,415.056,1.04331,0.56242,1.18009,0.98296,0.99117,0.99287,0.73005,1.05812,0.41061,1.27249,0.000234099,0.000234099,0.000234099
32,428.363,1.03923,0.55472,1.17808,0.98275,0.99038,0.99341,0.73299,1.08169,0.41045,1.25361,0.000230802,0.000230802,0.000230802
33,441.615,1.03149,0.5598,1.17567,0.98208,0.9959,0.9946,0.73952,1.06616,0.40963,1.25504,0.000227506,0.000227506,0.000227506
34,454.851,1.01755,0.55219,1.16621,0.97816,0.99408,0.99474,0.74153,1.06299,0.40355,1.26969,0.000224209,0.000224209,0.000224209
35,468.173,1.01877,0.5489,1.16728,0.97583,0.99427,0.99427,0.73947,1.06306,0.39938,1.24168,0.000220912,0.000220912,0.000220912
36,481.584,1.00864,0.54229,1.15733,0.98518,0.99525,0.99402,0.72855,1.08982,0.40309,1.2895,0.000217616,0.000217616,0.000217616
37,494.905,1.00956,0.54465,1.16237,0.97939,0.99311,0.99458,0.74058,1.06784,0.39364,1.2585,0.000214319,0.000214319,0.000214319
38,508.217,0.99523,0.53937,1.1521,0.97081,0.99544,0.99295,0.73994,1.06627,0.40245,1.23269,0.000211022,0.000211022,0.000211022
39,521.488,0.99915,0.53479,1.15585,0.9748,0.99087,0.99426,0.72994,1.07735,0.3958,1.24925,0.000207725,0.000207725,0.000207725
40,534.796,0.98436,0.53307,1.14852,0.97983,0.99543,0.99463,0.74529,1.06563,0.39466,1.25948,0.000204429,0.000204429,0.000204429
41,548.143,0.97932,0.52536,1.14735,0.97855,0.99437,0.99457,0.74493,1.08461,0.39724,1.26968,0.000201132,0.000201132,0.000201132
42,561.457,0.9835,0.52889,1.14815,0.98366,0.99551,0.9948,0.73588,1.08628,0.40184,1.25552,0.000197835,0.000197835,0.000197835
43,574.906,0.97981,0.52483,1.14015,0.97855,0.99602,0.9946,0.73902,1.07096,0.39265,1.24608,0.000194539,0.000194539,0.000194539
44,588.231,0.98004,0.52417,1.14741,0.98065,0.99547,0.99448,0.74271,1.07117,0.38731,1.27783,0.000191242,0.000191242,0.000191242
45,601.527,0.97045,0.51628,1.13658,0.98116,0.99402,0.99476,0.73938,1.08407,0.39333,1.27905,0.000187945,0.000187945,0.000187945
46,614.792,0.9672,0.51636,1.13538,0.98336,0.99327,0.99462,0.73273,1.09009,0.39588,1.26513,0.000184649,0.000184649,0.000184649
47,628.08,0.95513,0.50911,1.12678,0.9831,0.99136,0.99458,0.74275,1.07799,0.38982,1.27651,0.000181352,0.000181352,0.000181352
48,641.396,0.94627,0.50678,1.12198,0.97611,0.99295,0.99255,0.7377,1.08877,0.3958,1.25719,0.000178055,0.000178055,0.000178055
49,654.737,0.9435,0.5034,1.12312,0.97649,0.99004,0.99393,0.73849,1.09086,0.39355,1.29042,0.000174758,0.000174758,0.000174758
50,668.034,0.93636,0.50176,1.11685,0.98129,0.99281,0.99472,0.74001,1.08191,0.39037,1.27263,0.000171462,0.000171462,0.000171462
51,681.308,0.92687,0.49528,1.11507,0.98679,0.99156,0.99454,0.74364,1.08307,0.38755,1.28027,0.000168165,0.000168165,0.000168165
52,694.567,0.92318,0.49725,1.11144,0.98301,0.99326,0.99469,0.7442,1.08166,0.38557,1.26543,0.000164868,0.000164868,0.000164868
53,707.791,0.92424,0.49847,1.11193,0.97825,0.99541,0.99471,0.74311,1.09196,0.38772,1.27567,0.000161572,0.000161572,0.000161572
54,721.084,0.92231,0.48998,1.10761,0.98217,0.99246,0.99472,0.74677,1.07845,0.38829,1.25445,0.000158275,0.000158275,0.000158275
55,734.499,0.9077,0.48858,1.09852,0.98189,0.99398,0.99475,0.73791,1.08907,0.38921,1.28717,0.000154978,0.000154978,0.000154978
56,747.843,0.90964,0.48969,1.10352,0.97978,0.99569,0.99468,0.74067,1.09473,0.38651,1.30026,0.000151682,0.000151682,0.000151682
57,761.136,0.90111,0.48329,1.10571,0.97895,0.99674,0.994,0.74365,1.09422,0.39056,1.28599,0.000148385,0.000148385,0.000148385
58,774.406,0.89433,0.4774,1.09959,0.98741,0.99443,0.99471,0.74569,1.09866,0.39117,1.3062,0.000145088,0.000145088,0.000145088
59,787.686,0.88604,0.47391,1.09578,0.9839,0.99505,0.99457,0.74176,1.09771,0.38312,1.30424,0.000141791,0.000141791,0.000141791
60,800.97,0.88021,0.46945,1.09086,0.98441,0.99471,0.99355,0.74276,1.10216,0.38459,1.32549,0.000138495,0.000138495,0.000138495
61,814.301,0.88615,0.47889,1.09239,0.97829,0.99302,0.99404,0.74164,1.092,0.3817,1.28633,0.000135198,0.000135198,0.000135198
62,827.593,0.86779,0.46764,1.07845,0.97474,0.99189,0.99149,0.73746,1.09688,0.38689,1.2944,0.000131901,0.000131901,0.000131901
63,840.924,0.86699,0.46449,1.07645,0.9805,0.99359,0.99462,0.7426,1.08523,0.38341,1.29169,0.000128605,0.000128605,0.000128605
64,854.1,0.8606,0.46395,1.0789,0.98105,0.99778,0.99476,0.74458,1.08636,0.37971,1.29668,0.000125308,0.000125308,0.000125308
65,867.397,0.84727,0.45807,1.07161,0.98123,0.99424,0.99465,0.74482,1.10618,0.38297,1.36082,0.000122011,0.000122011,0.000122011
66,880.704,0.85114,0.45765,1.07481,0.98095,0.99381,0.99461,0.74383,1.10338,0.38482,1.33513,0.000118714,0.000118714,0.000118714
67,893.958,0.84416,0.45584,1.07448,0.98151,0.9948,0.99457,0.74478,1.09957,0.38851,1.31668,0.000115418,0.000115418,0.000115418
68,907.258,0.83857,0.45285,1.06503,0.98286,0.99634,0.99464,0.75185,1.09762,0.38494,1.3097,0.000112121,0.000112121,0.000112121
69,920.588,0.83123,0.44683,1.06176,0.98322,0.99675,0.99468,0.74506,1.10005,0.38497,1.31402,0.000108824,0.000108824,0.000108824
70,933.917,0.82804,0.4472,1.05701,0.98423,0.99217,0.99425,0.74514,1.10284,0.38803,1.28157,0.000105528,0.000105528,0.000105528
71,947.28,0.82791,0.44891,1.05778,0.97513,0.99631,0.99203,0.74095,1.10217,0.37938,1.31463,0.000102231,0.000102231,0.000102231
72,960.601,0.82662,0.45002,1.05696,0.98659,0.99335,0.99465,0.75026,1.09382,0.38083,1.30562,9.89343e-05,9.89343e-05,9.89343e-05
73,973.842,0.81612,0.44727,1.05055,0.98506,0.99717,0.99473,0.74889,1.09924,0.37491,1.32127,9.56376e-05,9.56376e-05,9.56376e-05
74,987.153,0.81012,0.43983,1.04696,0.98174,0.99493,0.99158,0.73795,1.10916,0.38143,1.29823,9.23409e-05,9.23409e-05,9.23409e-05
75,1000.4,0.80325,0.43715,1.04479,0.98392,0.99575,0.99392,0.74309,1.10801,0.38193,1.30928,8.90442e-05,8.90442e-05,8.90442e-05
76,1013.78,0.79758,0.43596,1.04938,0.98685,0.99503,0.99477,0.74433,1.10222,0.37703,1.35605,8.57475e-05,8.57475e-05,8.57475e-05
77,1027.12,0.79365,0.43344,1.04421,0.98821,0.99503,0.99477,0.7438,1.1024,0.37729,1.3152,8.24508e-05,8.24508e-05,8.24508e-05
78,1040.55,0.78844,0.42909,1.03854,0.98562,0.99625,0.9947,0.74604,1.1049,0.38348,1.32942,7.91541e-05,7.91541e-05,7.91541e-05
79,1053.87,0.78488,0.42941,1.03917,0.98746,0.99527,0.99465,0.74394,1.10813,0.38389,1.32631,7.58574e-05,7.58574e-05,7.58574e-05
80,1067.28,0.77765,0.42664,1.0315,0.98959,0.99468,0.99467,0.74503,1.11211,0.38033,1.35446,7.25607e-05,7.25607e-05,7.25607e-05
81,1080.59,0.77408,0.42663,1.03347,0.98868,0.99411,0.99454,0.74788,1.10554,0.37958,1.33775,6.9264e-05,6.9264e-05,6.9264e-05
82,1093.89,0.76975,0.42353,1.0276,0.98927,0.99431,0.9946,0.74453,1.09777,0.37945,1.30826,6.59673e-05,6.59673e-05,6.59673e-05
83,1107.18,0.75976,0.41589,1.02416,0.98419,0.99735,0.99435,0.74386,1.11335,0.38027,1.32828,6.26706e-05,6.26706e-05,6.26706e-05
84,1120.42,0.76537,0.42484,1.02864,0.98552,0.99459,0.99463,0.74154,1.10673,0.37586,1.34401,5.93739e-05,5.93739e-05,5.93739e-05
85,1133.8,0.75197,0.41612,1.01976,0.98459,0.99404,0.99245,0.74481,1.10259,0.37781,1.3286,5.60772e-05,5.60772e-05,5.60772e-05
86,1147.08,0.75178,0.41372,1.02007,0.9885,0.99528,0.99469,0.74215,1.11115,0.37937,1.33439,5.27805e-05,5.27805e-05,5.27805e-05
