epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6018,1.61509,2.36807,1.46572,0.82943,0.72287,0.84767,0.53918,1.30268,0.86096,1.38349,0.000110699,0.000110699,0.000110699
2,29.6456,1.34648,1.11275,1.29965,0.91904,0.90692,0.96858,0.63172,1.23235,0.6584,1.29508,0.000210725,0.000210725,0.000210725
3,43.4314,1.29978,0.95044,1.27581,0.9594,0.93932,0.97403,0.63521,1.26677,0.62339,1.28788,0.000299762,0.000299762,0.000299762
4,56.9858,1.2742,0.87967,1.27481,0.95467,0.94472,0.96662,0.62726,1.29416,0.58974,1.30998,0.00028355,0.00028355,0.00028355
5,70.6273,1.25541,0.83008,1.26337,0.96171,0.95391,0.98138,0.67292,1.1527,0.53912,1.2848,0.000267066,0.000267066,0.000267066
6,84.2731,1.2136,0.78415,1.25074,0.97369,0.95899,0.98498,0.6753,1.15844,0.5163,1.27121,0.000250583,0.000250583,0.000250583
7,97.9574,1.20131,0.74485,1.24291,0.97364,0.96556,0.9858,0.6398,1.2602,0.53188,1.28422,0.000234099,0.000234099,0.000234099
8,111.523,1.18127,0.72899,1.2339,0.9712,0.96066,0.98213,0.68144,1.12254,0.48858,1.28395,0.000217616,0.000217616,0.000217616
9,125.188,1.16315,0.70084,1.2245,0.97662,0.97281,0.98873,0.69163,1.10952,0.47278,1.25334,0.000201132,0.000201132,0.000201132
10,138.845,1.15368,0.69262,1.22917,0.97009,0.97386,0.98853,0.6948,1.12271,0.46913,1.25247,0.000184649,0.000184649,0.000184649
11,155.407,1.13966,0.50739,1.25367,0.97105,0.97679,0.98671,0.69159,1.12712,0.46414,1.25117,0.000168165,0.000168165,0.000168165
12,168.888,1.11128,0.49126,1.24155,0.97445,0.97387,0.98591,0.69936,1.10797,0.45582,1.26345,0.000151682,0.000151682,0.000151682
13,182.328,1.08186,0.47055,1.23444,0.96992,0.97926,0.98908,0.70489,1.08595,0.44865,1.26365,0.000135198,0.000135198,0.000135198
14,195.852,1.07049,0.46054,1.22814,0.97869,0.9817,0.99048,0.71551,1.07392,0.43017,1.26864,0.000118714,0.000118714,0.000118714
15,209.32,1.04867,0.4424,1.22011,0.98199,0.98002,0.99015,0.71824,1.07215,0.42127,1.26409,0.000102231,0.000102231,0.000102231
16,222.839,1.03093,0.43397,1.21346,0.98111,0.9811,0.98872,0.72333,1.05276,0.41429,1.24816,8.57475e-05,8.57475e-05,8.57475e-05
17,236.365,1.02746,0.42417,1.21071,0.98475,0.98109,0.98921,0.72577,1.06527,0.40847,1.25768,6.9264e-05,6.9264e-05,6.9264e-05
18,249.945,1.00361,0.41101,1.19988,0.98844,0.97935,0.99004,0.72932,1.04196,0.39982,1.2542,5.27805e-05,5.27805e-05,5.27805e-05
19,263.511,0.98969,0.40254,1.19556,0.98664,0.97998,0.9899,0.73598,1.03107,0.391,1.24635,3.6297e-05,3.6297e-05,3.6297e-05
20,277.049,0.97506,0.39782,1.1816,0.98862,0.98168,0.98995,0.73877,1.02393,0.38929,1.24162,1.98135e-05,1.98135e-05,1.98135e-05
